account_email,employment_company_name,name,start_date,end_date,currently_working,description,roles_and_responsibilities,technologies_used
kirti@drc.com,Creative Studio,Jennifer Lewis,15/11/2016,18/03/2018,FALSE,Worked as a marketing manager,"Developed marketing strategies, managed marketing campaigns, conducted market research, analyzed campaign performance","Google Ads, Marketo, SEO tools, Adobe Creative Suite"
amol@cloud.co.in,HR Solutions,Michael Clark,01/08/2019,31/12/2022,FALSE,Served as a project coordinator,"Assisted project managers, tracked project progress, prepared project documentation, facilitated communication between team members","Project management software, Microsoft Office suite"
amol@cloud.co.in,Finance Corp,Laura Baker,05/04/2018,30/07/2019,FALSE,Worked as a UX/UI designer,"Designed user interfaces, conducted user research, created wireframes and prototypes, collaborated with development teams","Sketch, Adobe XD, InVision, Figma"
amol@cloud.co.in,HR Solutions,Matthew Rodriguez,10/07/2016,03/04/2018,FALSE,Currently working as a data analyst,"Analyzed and interpreted data, generated reports and insights, identified trends and patterns, developed data visualizations","SQL, Python, Excel, Tableau"
ajit@cloud.co.in,Tech Innovators,John Senna,20/12/2017,30/06/2021,TRUE,Served as a customer support representative,"Resolved customer inquiries, provided product assistance, processed customer orders, maintained customer satisfaction","CRM software, Helpdesk ticketing systems, Communication tools"
ajit@cloud.co.in,Customer Care Inc.,William Hall,15/09/2014,30/11/2016,FALSE,Worked as a business analyst,"Conducted requirements gathering, performed data analysis, prepared business process documentation, collaborated with stakeholders","UML, SQL, Microsoft Visio, JIRA"
arya@cloud.co.in,Marketing Maven,  ,05/11/2018,31/12/2021,FALSE,Worked as a systems analyst,"Analyzed system requirements, designed and implemented software solutions, conducted system testing and troubleshooting","Java, SQL, UML, Linux"
arya@cloud.co.in,Operations Pro,Sophia Roberts,15/06/2019,04/11/2018,FALSE,Currently working as a graphic designer,"Designed graphics and visual elements, created branding materials, collaborated with clients and creative teams","Adobe Creative Suite, Canva"
arya@cloud.co.in,Marketing Maven,Ethan Wright,10/08/2018,31/05/2019,FALSE,Worked as a financial controller,"Oversaw financial operations, prepared financial statements, managed budgeting and forecasting, ensured compliance with regulatory requirements","Excel, QuickBooks, SAP"
kirti@cloud.co.in,Data Insights,Chloe Murphy,05/01/2020,12/06/2023,FALSE,Currently working as a software tester,"Conducted software testing, developed test plans and cases, identified and reported software defects, collaborated with the development team","Selenium, JUnit, Bug tracking tools"
kirti@cloud.co.in,Software Solutions,James Rogers,01/07/2017,30/09/2021,FALSE,Worked as a supply chain manager,"Managed inventory and procurement processes, coordinated logistics, optimized supply chain efficiency","ERP systems, Supply chain management tools"
kirti@cloud.co.in,Software Solutions,Mia Perez,20/12/2021,30/06/2022,FALSE,Served as a social media manager,"Developed and executed social media strategies, managed social media accounts, monitored social media metrics","Hootsuite, Google Analytics, Facebook Business Manager"
john@abc.com,Sales Success,Jacob Carter,01/09/2019,28/02/2020,FALSE,Worked as a software support specialist,"Provided technical support to customers, resolved software issues, documented support tickets, delivered training to end-users","CRM software, Helpdesk ticketing systems, Remote support tools"
john@abc.com,Design Studio,Ava Gray,10/04/2020,12/06/2021,FALSE,Currently working as a business development manager,"Identified and pursued new business opportunities, built and maintained client relationships, negotiated contracts and agreements","Salesforce, Microsoft Office suite, CRM software"
john@abc.com,Sales Success,Noah Richardson,15/10/2022,31/12/2022,FALSE,Worked as a network administrator,"Managed network infrastructure, implemented security measures, performed network troubleshooting and maintenance","Cisco networking equipment, Firewall technologies, Network monitoring tools"
jane@abc.com,Biz Solutions,Mia Ward,10/11/2018,31/10/2019,FALSE,Served as a marketing coordinator,"Assisted in marketing campaign planning and execution, conducted market research, managed social media accounts","Google Ads, MailChimp, Adobe Photoshop"
jane@abc.com,Content Creators,Lucas Cooper,05/12/2019,12/06/2020,FALSE,Currently working as a data scientist,"Analyzing large datasets, developing machine learning models, extracting insights from data, collaborating with cross-functional teams","Python, R, TensorFlow, Tableau"
jane@abc.com,Biz Solutions,Harper Ramirez,15/02/2021,31/05/2021,FALSE,Worked as a customer success manager,"Managed customer relationships, ensured customer satisfaction, resolved customer issues, provided product training and support","CRM software, Customer success platforms, Communication tools"
mark@abc.com,Tech Solutions,Logan Peterson,10/08/2019,12/06/2020,FALSE,Worked as a front-end developer,"Developed and maintained user interfaces, collaborated with the design team, implemented responsive web designs","HTML, CSS, JavaScript, React"
mark@abc.com,Operations Pro,Mia Cooper,01/07/2020,30/04/2021,FALSE,Currently working as a marketing specialist,"Created and executed marketing campaigns, managed social media presence, analyzed campaign performance","Google Ads, Google Analytics, Social media management tools"
mark@abc.com,Tech Solutions,Ethan Price,05/01/2022,30/09/2022,FALSE,Served as a software quality assurance analyst,"Developed test plans and cases, executed software testing, identified and reported software defects, collaborated with the development team","TestRail, JIRA, Selenium"
emily@abc.com,Success Solutions,Olivia Long,20/12/2017,15/03/2018,FALSE,Worked as a financial analyst,"Performed financial analysis, prepared financial reports, conducted budgeting and forecasting, provided financial recommendations","Excel, SQL, Financial modeling software"
emily@abc.com,Project Inc.,William Nelson,15/09/2018,12/06/2021,FALSE,Currently working as a software architect,"Designed software architecture, provided technical guidance and leadership, collaborated with development teams, evaluated and implemented new technologies","Java, C#, .NET, AWS"
emily@abc.com,Success Solutions,Sophia Hughes,10/04/2022,30/06/2022,FALSE,Worked as a UX researcher,"Conducted user research, gathered user insights, created user personas and journey maps, collaborated with UX/UI designers","User interviews, Usability testing tools, Data analysis software"
riya@xyzcorp.com,Web Services,Liam Myers,01/08/2018,12/06/2019,FALSE,Worked as a business intelligence analyst,"Extracted and analyzed data, created reports and dashboards, identified trends and patterns, provided data-driven insights","SQL, Power BI, Tableau, Excel"
riya@xyzcorp.com,Finance Management,Emily Bell,15/01/2020,12/06/2022,FALSE,Currently working as a social media coordinator,"Managed social media accounts, created and scheduled content, monitored social media metrics","Hootsuite, Buffer, Canva"
riya@xyzcorp.com,Web Services,Daniel Turner,15/11/2022,28/02/2023,FALSE,Worked as a software implementation consultant,"Implemented and configured software solutions, provided training and support to clients, conducted system testing and troubleshooting","CRM software, Project management tools, ERP systems"
rohan@xyzcorp.com,Research Labs,Mia Brooks,20/08/2019,12/06/2020,FALSE,Served as a product manager,"Managed product development lifecycle, conducted market research, defined product roadmap and strategy, collaborated with cross-functional teams","Agile methodology, Product management tools, Market research software"
rohan@xyzcorp.com,Social Buzz,Lucas Stewart,01/06/2021,31/10/2022,FALSE,Worked as a software engineer,"Developed and maintained software applications, participated in code reviews, conducted software testing and debugging","Python, JavaScript, Django, PostgreSQL"
rohan@xyzcorp.com,Research Labs,Emma Lopez,20/11/2022,12/06/2023,FALSE,Currently working as a UX/UI designer,"Designed user interfaces, created wireframes and prototypes, collaborated with development teams, conducted usability testing","Sketch, Figma, Adobe XD, InVision"
sam@xyzcorp.com,Admin Solutions,Noah Sanchez,15/08/2017,30/09/2018,FALSE,Worked as a business analyst,"Gathered and documented business requirements, performed data analysis, prepared functional specifications, collaborated with stakeholders","SQL, UML, Microsoft Visio, JIRA"
sam@xyzcorp.com,User Insights,Mia Robinson,10/01/2019,31/03/2020,FALSE,Served as a customer success manager,"Managed customer relationships, ensured customer satisfaction, provided product training and support, resolved customer issues","CRM software, Helpdesk ticketing systems, Communication tools"
sam@xyzcorp.com,Admin Solutions,Lucas Brooks,01/06/2020,12/06/2023,FALSE,Currently working as a software tester,"Conducted software testing, developed test plans and cases, identified and reported software defects, collaborated with the development team","Selenium, JUnit, Bug tracking tools"
mia@xyzcorp.com,Tech Solutions,Mia James,05/12/2017,31/12/2018,FALSE,Worked as a marketing coordinator,"Assisted in marketing campaign planning and execution, conducted market research, managed social media accounts","Google Ads, MailChimp, Adobe Photoshop"
mia@xyzcorp.com,Sales Excellence,Ethan Rogers,01/09/2019,12/06/2020,FALSE,Served as a data analyst,"Analyzed and interpreted data, generated reports and insights, identified trends and patterns, collaborated with cross-functional teams","SQL, Python, Excel, Tableau"
mia@xyzcorp.com,Sales Excellence,Olivia Stewart,15/02/2021,31/05/2021,FALSE,Worked as a project manager,"Managed project scope, timeline, and resources, coordinated project activities, communicated with stakeholders","Project management software, Microsoft Office suite"
sunil@efgsolutions.com,Content Creators,William Evans,10/06/2019,12/06/2020,FALSE,Worked as a software support specialist,"Provided technical support to customers, resolved software issues, documented support tickets, delivered training to end-users","CRM software, Helpdesk ticketing systems, Remote support tools"
sunil@efgsolutions.com,QA Solutions,Sophia Brown,01/10/2018,31/03/2022,FALSE,Served as a business development manager,"Identified and pursued new business opportunities, built and maintained client relationships, negotiated contracts and agreements","Salesforce, Microsoft Office suite, CRM software"
sunil@efgsolutions.com,Content Creators,Logan Hughes,15/07/2022,30/09/2022,FALSE,Worked as a network administrator,"Managed network infrastructure, implemented security measures, performed network troubleshooting and maintenance","Cisco networking equipment, Firewall technologies, Network monitoring tools"
priya@efgsolutions.com,Data Innovators,Mia Morgan,10/09/2018,12/06/2019,FALSE,Currently working as a social media manager,"Developed and executed social media strategies, managed social media accounts, monitored social media metrics","Hootsuite, Google Analytics, Facebook Business Manager"
priya@efgsolutions.com,Data Innovators,Ethan Bell,01/02/2020,31/03/2021,FALSE,Currently working as a software engineer,"Developing and maintaining software applications, collaborating with the development team, conducting code reviews, troubleshooting and debugging software issues","Java, C++, Spring, MySQL"
priya@efgsolutions.com,HR Solutions,Olivia Gonzalez,15/10/2021,28/02/2022,FALSE,Worked as a systems analyst,"Analyzed system requirements, designed and implemented software solutions, conducted system testing and troubleshooting","Java, SQL, UML, Linux"
rahul@efgsolutions.com,System Solutions,Sophia Ward,05/10/2019,28/02/2021,FALSE,Currently working as a data analyst,"Analyzed and interpreted data, generated reports and insights, identified trends and patterns, developed data visualizations","SQL, Python, Excel, Tableau"
rahul@efgsolutions.com,Events Unlimited,Logan Ramirez,20/07/2022,30/05/2023,TRUE,Served as a customer support representative,"Resolved customer inquiries, provided product assistance, processed customer orders, maintained customer satisfaction","CRM software, Helpdesk ticketing systems, Communication tools"
nisha@efgsolutions.com,Design Studio,Mia Foster,01/01/2019,30/09/2020,FALSE,Worked as a content writer,"Created and edited content for various platforms, conducted research, ensured content quality and consistency","WordPress, SEO tools, Grammarly"
nisha@efgsolutions.com,Business Growth Inc.,Ethan Long,15/04/2021,12/06/2022,FALSE,Worked as a financial analyst,"Performed financial analysis, prepared financial reports, conducted budgeting and forecasting, provided financial recommendations","Excel, SQL, Financial modeling software"
nisha@efgsolutions.com,Design Studio,Olivia Reed,10/11/2022,12/06/2023,FALSE,Currently working as a software quality assurance analyst,"Developed test plans and cases, executed software testing, identified and reported software defects, collaborated with the development team","TestRail, JIRA, Selenium"
aanya@pqrsolutions.com,Tech Solutions,William Parker,15/03/2019,30/06/2020,FALSE,Worked as a marketing specialist,"Created and executed marketing campaigns, managed social media presence, analyzed campaign performance","Google Ads, Google Analytics, Social media management tools"
aanya@pqrsolutions.com,Tech Support Ltd.,Sophia Turner,10/06/2021,12/06/2022,FALSE,Served as a software engineer,"Developed and maintained software applications, participated in code reviews, conducted software testing and debugging","Python, Java, C++, Git"
aanya@pqrsolutions.com,Tech Support Ltd.,Logan Collins,01/09/2022,31/05/2023,FALSE,Worked as a business analyst,"Gathered and documented business requirements, performed data analysis, prepared functional specifications, collaborated with stakeholders","SQL, UML, Microsoft Visio, JIRA"
piyush@pqrsolutions.com,Content Creators,Mia Hill,20/04/2018,12/06/2019,FALSE,Currently working as a project manager,"Managed project scope, timeline, and resources, coordinated project activities, communicated with stakeholders","Project management software, Microsoft Office suite"
piyush@pqrsolutions.com,QA Solutions,Ethan Wood,15/07/2019,30/09/2022,FALSE,Worked as a software support specialist,"Provided technical support to customers, resolved software issues, documented support tickets, delivered training to end-users","CRM software, Helpdesk ticketing systems, Remote support tools"
piyush@pqrsolutions.com,Content Creators,Olivia Green,01/06/2020,12/06/2023,FALSE,Worked as a network administrator,"Managed network infrastructure, implemented security measures, performed network troubleshooting and maintenance","Cisco networking equipment, Firewall technologies, Network monitoring tools"
neha@pqrsolutions.com,HR Solutions,William James,01/08/2017,30/09/2018,FALSE,Served as a business development manager,"Identified and pursued new business opportunities, built and maintained client relationships, negotiated contracts and agreements","Salesforce, Microsoft Office suite, CRM software"
neha@pqrsolutions.com,HR Solutions,Sophia Rodriguez,05/01/2020,12/06/2021,FALSE,Worked as a UX/UI designer,"Designed user interfaces, conducted user research, created wireframes and prototypes, collaborated with development teams","Sketch, Figma, Adobe XD, InVision"
neha@pqrsolutions.com,Data Innovators,Logan Hernandez,10/04/2022,31/03/2023,FALSE,Served as a data analyst,"Analyzed and interpreted data, generated reports and insights, identified trends and patterns, collaborated with cross-functional teams","SQL, Python, Excel, Tableau"
arjun@pqrsolutions.com,System Solutions,Mia Flores,01/03/2019,12/06/2020,FALSE,Worked as a customer success manager,"Managed customer relationships, ensured customer satisfaction, provided product training and support, resolved customer issues","CRM software, Helpdesk ticketing systems, Communication tools"
arjun@pqrsolutions.com,Events Unlimited,Ethan Cruz,15/08/2020,31/03/2021,TRUE,Currently working as a software engineer,"Developing and maintaining software applications, collaborating with the development team, conducting code reviews, troubleshooting and debugging software issues","Java, C++, Spring, MySQL"
arjun@lmnservices.com,Design Studio,William Ward,01/07/2018,12/06/2020,FALSE,Served as a UX/UI designer,"Designed user interfaces, conducted user research, created wireframes and prototypes, collaborated with development teams","Sketch, Adobe XD, InVision, Figma"
arjun@lmnservices.com,Business Growth Inc.,Sophia Ramirez,15/04/2021,28/02/2022,FALSE,Currently working as a data analyst,"Analyzed and interpreted data, generated reports and insights, identified trends and patterns, developed data visualizations","SQL, Python, Excel, Tableau"
arjun@lmnservices.com,Business Growth Inc.,Logan Foster,01/06/2022,30/05/2023,FALSE,Worked as a customer support representative,"Resolved customer inquiries, provided product assistance, processed customer orders, maintained customer satisfaction","CRM software, Helpdesk ticketing systems, Communication tools"
priyankfs.net@gmail.com,Click on Tech,Priyank Vadi,08/05/2020,08/04/2023,TRUE,"Development of a platform which displays the details of various UAVs/Drones.
The platform also has capabilities to apply the image processing algorithms to the live feed received from drones.
Integrations such as Optical zoom algorithm Object Tracking Object GPS resolving are some of the highlights of this platform",Senior Software Developer                          ,Asp.net SQL Server MVC Web API ReactJS
priyankfs.net@gmail.com,Click on Tech,Priyank Vadi,08/04/2018,08/04/2020,FALSE,"An ERP platform which captures the lifecycle of the diamond rough to production.
This platform also manages the accounts wrt the sales of these diamonds.",Team Lead,ASP.net Windows Application C# SQL ServerHTML CSS
priyankfs.net@gmail.com,Coruscate Solution Pvt. Ltd.,Priyank Vadi,08/04/2016,08/03/2018,FALSE,This is a US-based Hospital management system. On which they provide a solution to their patient and also manage doctor’s details and provide services at patient home.,Senior Software Engineer,Asp.net SQL Server MVC Web Service Web API AngularJS JQuery Ajax
priyankfs.net@gmail.com,Coruscate Solution Pvt. Ltd.,Priyank Vadi,08/02/2014,08/02/2016,FALSE," Development of a SaaS platform for resource management.
Development of microservice based architecture which manages the attendance leaves payroll grieviences of the employees",Software Engineer,Asp.net SQL Server MVC AngularJS JQuery Ajax
pravin@upperthrust.com,Upperthrust Technologies,Pravin Rathod                       ,05/05/2021,08/04/2023,TRUE,"Written Shell script to automate the CP4D 3.5 and CP4D 4.0.x Installation. Provisioned the RHEL OpenShift cluster (OCP 4.6 4.7 4.8) for CP4D in AWS IBM and Azure Cloud.
I have automated the installation of IIS 11.7 and IIS11.5 through Ansible and Terraform. Migrated the Datastage jobs from IIS11.7 to CP4D 3.5 with the help of MettleCI DevOps Tool and Jenkins.",Sr. DevOps Engineer,Spring-boot Core-Java AuroraDB Python 3.7.
pravin@upperthrust.com,Vishwakarma Global Education Services India Pvt. Ltd.,Pravin Rathod                       ,01/12/2019,04/05/2021,FALSE,Designed a cloud infrastructure for below mentioned products and webapps Easycheck EasyProctor.,Sr. Cloud Solution Architect,Core Java MySQL Netty jUnit EhCache
jalad.jhamb@giitian.com,GIIT Solutions,Jalad Jhamb,05/04/2019,08/04/2023,TRUE,The job is to configure the CI/CD pipeline so that any change committed in the  github repository will reflect in the S3 bucket with immediate effect and CI/CD  with EKS and ECS.  Configure alert and monitor service for development and production  environments. Configure EKS logs going to cloud watch in both environments  Refactor Dev env to have one VPC just like production environment.,"Cloud Engineer

 Create s3 bucket with publicly accessible permission.
● Build project using the github as the source provider so that any change  committed in the github repository will reflect in the s3 bucket.
● Updating the build to deploy artifacts in the s3 bucket.
● This process is repeated for the both dev and prod environment.
● The alerting and monitoring was configured by using cloud watch to  send notification by chat bot and mail.
● Enabled the logs for EKS service.
● Migrated all the services to a single VPC in the dev environment.
● CI/CD configuration for EKS.                ",AWS GitHub Cloud9
jalad.jhamb@giitian.com,GIIT Solutions,Jalad Jhamb,05/04/2019,08/04/2023,TRUE,This project was to configure the pipelines set up the Route53 cloudfront   cloudformation stacks KMS keys Cloudwatch AWS Chatboat Lambda  Functions S3 buckets AWS config SSO ALB SNS SES in their AWS  environment.  ,"Cloud Engineer

Create s3 bucket with publicly accessible permission.
● Build project using the github as the source provider so that any change  committed in the github repository will reflect in the s3 bucket.
● Updating the build to deploy artifacts in the s3 bucket.
● This process is repeated for the both dev and prod environment.
● The alerting and monitoring was configured by using cloud watch to  send notification by chat bot and mail.
● Enabled the logs for EKS service.
● Migrated all the services to a single VPC in the dev environment.
● CI/CD configuration for EKS.           ",AWS Github and CodeCommit
jalad.jhamb@giitian.com,GIIT Solutions,Jalad Jhamb,05/04/2019,08/04/2023,TRUE,This project is to configure the .net application pipeline and other pipeline which need to deploy the ECR images to ECR repository and deploy it to  ECS Cluster. Work on the AWS services like Route53 CloudFront cloud formation stacks KMS keys Cloudwatch AWS Chatbot Lambda  Functions S3 buckets AWS configuration ALB SNS SES  S3,"Cloud Engineer

Configure the pipeline in Bitbucket.
● Configure the Route53 for different websites and tenants.
● Configure the Cloudfront for the different tenants and attatching the ALB as  origin source.
● Configure ECS with the ALB and change the listener configurations.
● Configuring the Cloudformation stack by writing the required Templates.
● Troubleshoot on the Roles Policies Lambda API gateway ECR  Permission and many more services of AWS.
● VPC configurations for Different AWS Environment with certain VPC  Endpoints.  ",AWS Bitbucket AWS CDK
ashishpsharma9@gmail.com,Patch Infotech Pvt. Ltd.,Aashish Kumar Sharma,09/05/2020,08/04/2023,TRUE,TAMM’s portal provides its customers whether UAE citizens residents visitors or investors with a comprehensive range of government services through one single point of access at any time and place. Using TAMM’s portal customers can have direct access to information without having to visit each and every government entity. The Project/Service I worked for are Education Department Of Health (DOH) Community(ADEK ACTVET) Housing and Construction(ADHA). The technology used are Typescript in both frontend(ReactJs) and backend(NodeJs) using REST APIs for internal and external Api services. There was a special tool called Workbench for creating frontend pages with predefined html components the process flow of each service is controlled by camunda BPMN workflow diagrams.,"Senior Software Developber

",React(TypeScript) Node.js Camunda MySQL
ashishpsharma9@gmail.com,Societe Generale GSC,Aashish Kumar Sharma,01/05/2019,08/04/2020,FALSE,As a part of this project DORAUI was a user friendly interface that was created to expose all the APIs that was there in the organization. This was created with dual mode ability to provide user an option with two types of authorization that was used by APIs. It provides the features like admin control Catalog to organise APIs (Decommissioning Client creating object storage using an API etc) Report Page to show the execution of individual APIs (hits success backend error client error etc) pictorial representation using graphs.,Full Stack Developer ,React(TypeScript) Node.js Camunda MySQL
ashishpsharma9@gmail.com,Societe Generale GSC,Aashish Kumar Sharma,01/05/2019,08/04/2020,FALSE,As part of this project GMC offers proactive alerts/solution to users about the servers status every morning on the basis of the parameters defined by server owners. This project mainly focuses on collecting data from thousands of servers across four regions (PARIS AMERICA EUROPE ASIA) and three platforms (UNIX WINDOWS CLOUD) and then test whether that server is up and running as expected or not . If not generate a log along with issues details and send a mail to the owner about the issue and list of solutions (provided by owner) that can be used to overcome the problem.,Full Stack Developer ,React(TypeScript) Node.js Camunda MySQL
shajra1988@gmail.com,Citicorp Services India Pvt Ltd,Saubhik Hajra,03/05/2012,08/04/2023,TRUE,"• Worked as a senior developer to Analysing and estimating requirements from clients while providing effective solutions to develop new features in the application that deals with handling all the contacts across clients at a central location. This provides reduced duplication of data and controlling a contact’s information centrally.
• Responsible for developing end to end flow of APIs Angular UI Components to build new features in the existing application framework.
• Responsible for writing ad-hoc Mongo scripts to load or fetch contact data for reporting in case of any request from Client.
• Responsible for creating Low level and High level design documents of the application along with writing efficient automated unit test cases to ensure the maximum code coverage.
• Responsible for supporting and maintaining the developed application within an IT system to ensure the stability.
• Mentoring the Junior developer helping developer and senior developers code reviewing and code merge activity.",Lead DotNet Developer and Analyst,Angular 8 ASP.net core Mongo DB PowerShell Nunit and MoQ test framework.
shajra1988@gmail.com,FIS Solutions(India) Pvt Ltd,Saubhik Hajra,09/05/2021,03/03/2021,FALSE,"• Worked as a senior developer to automate Loan Originations System of the bank which is a web based application that has a workflow of the loan origination process.
• Responsible working on the developing WebAPI Services Batch utilities to load or send data designing the workflows which will be used by the CLO application from where bank user can initiate and organize the loan approval process on behalf of a corporate or retail client.
• Responsible for creating Low level and High level design documents of the application.
• Responsible for driving customer meetings to manage the requirements completing the technical design breakdown requirement etc. and follow through.
• Mentoring the Junior developer helping developer and senior developers code reviewing and code merge activity.
• Defining task and subtask in Jira defined time estimation of task and assigned to developers",Senior Lead Consultant,.Net Core 2.0 Web API .Net (C#) MVC 5.0 Angular REST jQuery JavaScript
shajra1988@gmail.com,Tata Consultancy Services,Saubhik Hajra,03/05/2012,09/05/2019,FALSE,"• Worked as an onshore developer to migrate an application which was developed in DotNet framework 2.0 to DotNet framework 4.5 and to move the application from windows server 2003 to windows server 2012.
• Responsible for enhancing the applications and also re-developing the functionalities that are not compatible with the new framework.
• Responsible for analysis and setup the IIS settings for the new DotNet framework and the new windows server.
• Creation and enhance of necessary tables and mapping of the tables on database along with required Stored Procedures for the migration.
• Enhancing the security setup of the application from Form based authentication to windows authentication to align with CBA standard.
• Design of Test Cases and functional and unit testing.
• Responsible for creating Low level and High level design documents of the application.",I.T.Analyst, ASP.Net 4.5 SQL Server 2012 JavaScript.
sravanreddyrsm@gmail.com,KPMG Pvt Ltd,K Sravan Kumar Reddy,09/05/2020,08/04/2023,TRUE,TAMM’s portal provides its customers whether UAE citizens residents visitors or investors with a comprehensive range of government services through one single point of access at any time and place. Using TAMM’s portal customers can have direct access to information without having to visit each and every government entity. The Project/Service I worked for are Education Department Of Health (DOH) Community(ADEK ACTVET) Housing and Construction(ADHA). The technology used are Typescript in both frontend(ReactJs) and backend(NodeJs) using REST APIs for internal and external Api services. There was a special tool called Workbench for creating frontend pages with predefined html components the process flow of each service is controlled by camunda BPMN workflow diagrams.,"Power BI Developer
 Gathering requirement from stakeholders and translating business requirements into meaningful KPIs with help of Business Analyst.
• Worked on Data Modelling Implemented Star schema & Snowflake schema.
•  Implemented Incremental Load to improve Load Time.
•  Created different types of sheet objects like List boxes Buttons
•  Created various kinds of visualization using Tableau such as Charts Tabular chart &      Conditional Formatting.
•  Implemented the Incremental load and involved in the Performance tuning.
•  Developed Linked Tables Concatenation and solved the loops issues.
•  Performed the Application deployment activities completed 2 production release.
•  Worked on Service now tool for Production Support Activities.
•  Tested Applications ensuring the application met the requirements Data quality for Quality Assurance before delivering to the end users.""                                                        ",Power BI SQL SERVER SSIS SSRS
raj.s.ecodedash@gmail.com,Ecode Dash,Vinkayala Veera Raja Shekhar ,08/05/2021,08/04/2023,TRUE,"
Plants is an online plant retailer web application. It is built on ReactJs and NextJs to support SEO and improve user experience. Developed the application from scratch and was responsible for main modules and performance.",Senior Software Engineer,Power BI SQL SERVER SSIS SSRS
dibyendu.rakshit@gmail.com,Eka Software Solution Pvt. Ltd.,Dibyendu Rakshit,07/05/2006,05/08/2010,FALSE,"1. Core member of Product engineering team hence responsible for improving application performance and working on urgent requirements for the demonstration of product to the client.
2. Designing screens independently as per functional specification in Jsp Java Struts EJB and Oracle.
3. Writing Jsp custom tags.
4. Writing complex sql queries.
5.Writing complex pl/sql procedures and functions.
6. Designing tables and views as per requirement.","Senior Software Engineer
Core member of Product engineering team hence responsible for improving application performance and working on urgent requirements for the demonstration of product to the client.
 Designing screens independently as per functional specification in Jsp Java Struts EJB and Oracle.
3. Writing Jsp custom tags.
4. Writing complex sql queries.
5.Writing complex pl/sql procedures and functions.
6. Designing tables and views as per requirement.",Core Java 1.6 JSP Struts 2.3 Spring Hibernate MySql Angular js  Tomcat 7Aerospike Mac-OS
