account_email,name,issued_date,expiry_date
ram@rsttech.com,CompTIA Cloud+ Certification,15/06/2022,15/06/2033
ram@rsttech.com,Certified Data Engineering Professional (CDEP),18/04/2021,18/04/2045
amit@rsttech.com,AWS Certified Solutions Architect,01/06/2015,01/06/2022
amit@rsttech.com,Certified Data Governance and Compliance Specialist (CDGCS),02/03/2028,02/03/2035
shivum@rsttech.com,Certified Data Science Professional (CDSP),15/07/2017,15/07/2024
shivum@rsttech.com,Certified DevOps Engineer,03/12/2036,03/12/2043
swapnil@rsttech.com,Microsoft Certified: Azure Data Engineer Associate,25/11/2018,25/11/2025
swapnil@rsttech.com,Certified Data Warehouse Specialist (CDWS),23/10/2022,23/10/2029
Nisha@wxysolutions.com,AWS Certified Solutions Architect,01/06/2015,01/06/2022
Nisha@wxysolutions.com,Certified Data Governance and Compliance Specialist (CDGCS),02/03/2028,02/03/2035
Mayuresh@wxysolutions,Certified Data Science Professional (CDSP),15/07/2017,15/07/2024
Mayuresh@wxysolutions,Certified DevOps Engineer,03/12/2036,03/12/2043
Amar@wxysolutions,Microsoft Certified: Azure Data Engineer Associate,25/11/2018,25/11/2025
Amar@wxysolutions,Certified Data Warehouse Specialist (CDWS),23/10/2022,23/10/2029
Hitesh@wxysolutions,Certified Cloud Architect,12/02/2018,12/02/2048
Hitesh@wxysolutions,Certified Data Integration Specialist (CDIS),10/06/2019,10/06/2060



