account_email,title,employment_type,company_name,location,start_date,end_date,currently_working,description
neha@pqrsolutions.com,Data Engineer,PT,Data Innovators,San Francisco,03/01/2020,01/06/2020,FALSE,"Designed and implemented data pipelines, optimized data storage and retrieval, and worked closely with data scientists and analysts."
arjun@pqrsolutions.com,Event Coordinator,IN,Events Unlimited,London,20/04/2019,Present,TRUE,"Planned and executed corporate events, managed event logistics, coordinated with vendors, and ensured smooth event operations."
arjun@pqrsolutions.com,Systems Administrator,FTE,System Solutions,Sydney,15/11/2017,20/03/2019,FALSE,"Managed computer systems and networks, performed system maintenance and troubleshooting, and ensured data security and backup processes."
arjun@lmnservices.com,UX Designer,PT,Design Studio,New York,10/08/2018,Present,TRUE,"Created user-centric design concepts, wireframes, and prototypes, conducted user research, and collaborated with cross-functional teams."
arjun@lmnservices.com,Business Development Manager,IN,Business Growth Inc.,Chicago,28/02/2017,10/07/2018,FALSE,"Identified new business opportunities, developed strategic partnerships, and implemented sales and marketing strategies to drive growth."
sanjay@lmnservices.com,IT Support Specialist,FTE,LMN Services,New York,01/03/2018,Present,TRUE,"Provided technical support to users, troubleshooted hardware and software issues, and ensured smooth IT operations."
sanjay@lmnservices.com,Software Engineer,PT,ABC Software,London,01/07/2019,Present,TRUE,"Developed software applications, conducted code reviews, and collaborated with cross-functional teams."
raj@lmnservices.com,Sales Manager,IN,LMN Services,London,01/06/2019,Present,TRUE,"Managed sales team, developed sales strategies, and achieved revenue targets."
raj@lmnservices.com,Business Development Manager,FTE,XYZ Corporation,New York,01/09/2020,Present,TRUE,"Identified business opportunities, built client relationships, and negotiated contracts."
amit@lmnservices.com,HR Coordinator,PT,LMN Services,Bangalore,15/09/2021,31/12/2022,FALSE,"Assisted with HR processes, conducted interviews, and facilitated employee onboarding."
amit@lmnservices.com,Project Manager,IN,PQR Solutions,Sydney,01/03/2023,Present,TRUE,"Led project teams, managed project scope and timelines, and ensured successful project delivery."
sanya@uwvsolutions.com,Marketing Manager,FTE,UWV Solutions,San Francisco,01/02/2017,Present,TRUE,"Developed and implemented marketing plans, managed digital campaigns, and analyzed campaign performance."
sanya@uwvsolutions.com,Social Media Specialist,PT,UWV Solutions,London,01/08/2018,Present,TRUE,"Managed social media accounts, created content strategies, and monitored social media analytics."
rahul@uwvsolutions.com,Financial Analyst,IN,UWV Solutions,London,01/09/2018,31/03/2021,FALSE,"Conducted financial analysis, prepared reports, and provided recommendations for business decisions."
rahul@uwvsolutions.com,Business Consultant,FTE,UWV Solutions,New York,01/06/2022,Present,TRUE,"Provided business consulting services, analyzed client operations, and recommended process improvements."
priya@uwvsolutions.com,Project Coordinator,PT,UWV Solutions,Sydney,01/05/2019,Present,TRUE,"Coordinated project activities, tracked progress, and ensured timely delivery of milestones."
priya@uwvsolutions.com,UX Designer,IN,UWV Solutions,Bangalore,01/09/2022,Present,TRUE,"Designed user experiences, created wireframes, and collaborated with development teams."
nisha@uwvsolutions.com,Product Manager,FTE,WXY Solutions,Bangalore,01/08/2017,Present,TRUE,"Managed product development lifecycle, defined product roadmap, and coordinated cross-functional teams."
nisha@uwvsolutions.com,Business Analyst,PT,WXY Solutions,San Francisco,01/09/2019,Present,TRUE,"Gathered and analyzed business requirements, created functional specifications, and facilitated project communication."
ram@rsttech.com,Software Engineer,IN,WXY Solutions,Sydney,01/01/2018,Present,TRUE,"Developed software applications, participated in code reviews, and collaborated with cross-functional teams."
ram@rsttech.com,Data Scientist,FTE,WXY Solutions,London,01/06/2022,Present,TRUE,"Conducted data analysis, built statistical models, and provided insights for business decision-making."
amit@rsttech.com,UX Designer,PT,WXY Solutions,New York,01/07/2019,Present,TRUE,"Designed user experiences, created wireframes, and collaborated with development teams."
amit@rsttech.com,Project Manager,IN,WXY Solutions,Bangalore,01/10/2021,Present,TRUE,"Managed project scope, timelines, and resources to ensure successful project delivery."
shivum@rsttech.com,Business Analyst,FTE,RST Tech,New York,01/04/2019,Present,TRUE,"Gathered and analyzed business requirements, created functional specifications, and facilitated project communication."
shivum@rsttech.com,Product Manager,PT,RST Tech,Bangalore,01/07/2021,Present,TRUE,"Managed product development lifecycle, defined product roadmap, and coordinated cross-functional teams."
swapnil@rsttech.com,QA Engineer,IN,RST Tech,San Francisco,01/02/2020,Present,TRUE,"Designed test cases, executed test plans, and reported software defects."
swapnil@rsttech.com,DevOps Engineer,FTE,RST Tech,Sydney,01/11/2022,Present,TRUE,"Implemented and maintained DevOps processes, automated deployments, and optimized infrastructure."
Nisha@wxysolutions.com,Product Manager,PT,WXY Solutions,Bangalore,01/08/2017,Present,TRUE,"Managed product development lifecycle, defined product roadmap, and coordinated cross-functional teams."
Nisha@wxysolutions.com,Business Analyst,IN,WXY Solutions,San Francisco,01/09/2019,Present,TRUE,"Gathered and analyzed business requirements, created functional specifications, and facilitated project communication."
Mayuresh@wxysolutions,Software Engineer,FTE,WXY Solutions,Sydney,01/01/2018,Present,TRUE,"Developed software applications, participated in code reviews, and collaborated with cross-functional teams."
Mayuresh@wxysolutions,Data Scientist,PT,WXY Solutions,London,01/06/2022,Present,TRUE,"Conducted data analysis, built statistical models, and provided insights for business decision-making."
Amar@wxysolutions,UX Designer,IN,WXY Solutions,New York,01/07/2019,Present,TRUE,"Designed user experiences, created wireframes, and collaborated with development teams."
Amar@wxysolutions,Project Manager,FTE,WXY Solutions,Bangalore,01/10/2021,Present,TRUE,"Managed project scope, timelines, and resources to ensure successful project delivery."
Hitesh@wxysolutions,Front-end Developer,PT,WXY Solutions,London,01/03/2020,Present,TRUE,"Developed user interfaces, implemented UI designs, and optimized website performance."
Hitesh@wxysolutions,Technical Support Specialist,IN,WXY Solutions,San Francisco,01/11/2022,Present,TRUE,"Provided technical support to users, resolved software and hardware issues, and ensured customer satisfaction."

priyankfs.net@gmail.com,Senior Software Developer,FTE,Click on Tech,Pune,08/05/2020,08/04/2023,TRUE,"Development of a platform which displays the details of various UAVs/Drones.
The platform also has capabilities to apply the image processing algorithms to the live feed received from drones.
Integrations such as Optical zoom algorithm Object Tracking Object GPS resolving are some of the highlights of this platform"
priyankfs.net@gmail.com,Team Lead,FTE,Coruscate Solution Pvt. Ltd.,Pune,08/04/2018,08/04/2020,FALSE,"An ERP platform which captures the lifecycle of the diamond rough to production.
This platform also manages the accounts wrt the sales of these diamonds."
pravin@upperthrust.com,Sr. DevOps Engineer,FTE,Upperthrust Technologies,Mumbai,05/05/2021,08/04/2023,TRUE,"Written Shell script to automate the CP4D 3.5 and CP4D 4.0.x Installation. Provisioned the RHEL OpenShift cluster (OCP 4.6 4.7 4.8) for CP4D in AWS IBM and Azure Cloud.
I have automated the installation of IIS 11.7 and IIS11.5 through Ansible and Terraform. Migrated the Datastage jobs from IIS11.7 to CP4D 3.5 with the help of MettleCI DevOps Tool and Jenkins."
pravin@upperthrust.com,Sr. Cloud Solution Architect,FTE,Vishwakarma Global Education Services India Pvt. Ltd.,Mumbai,01/12/2019,04/05/2021,FALSE,Designed a cloud infrastructure for below mentioned products and webapps Easycheck EasyProctor.
jalad.jhamb@giitian.com,Cloud Engineer,FTE,GIIT Solutions,Kota,05/04/2019,08/04/2023,TRUE,The job is to configure the CI/CD pipeline so that any change committed in the  github repository will reflect in the S3 bucket with immediate effect and CI/CD  with EKS and ECS.  Configure alert and monitor service for development and production  environments. Configure EKS logs going to cloud watch in both environments  Refactor Dev env to have one VPC just like production environment.
ashishpsharma9@gmail.com,Senior Software Developer,FTE,Patch Infotech Pvt. Ltd.,Hyderabad,09/05/2020,08/04/2023,TRUE,TAMM’s portal provides its customers whether UAE citizens residents visitors or investors with a comprehensive range of government services through one single point of access at any time and place. Using TAMM’s portal customers can have direct access to information without having to visit each and every government entity. The Project/Service I worked for are Education Department Of Health (DOH) Community(ADEK ACTVET) Housing and Construction(ADHA). The technology used are Typescript in both frontend(ReactJs) and backend(NodeJs) using REST APIs for internal and external Api services. There was a special tool called Workbench for creating frontend pages with predefined html components the process flow of each service is controlled by camunda BPMN workflow diagrams.
ashishpsharma9@gmail.com,Full Stack Developer,FTE,Societe Generale GSC,Hyderabad,01/05/2019,08/08/2020,FALSE,As a part of this project DORAUI was a user friendly interface that was created to expose all the APIs that was there in the organization. This was created with dual mode ability to provide user an option with two types of authorization that was used by APIs. It provides the features like admin control Catalog to organise APIs (Decommissioning Client creating object storage using an API etc) Report Page to show the execution of individual APIs (hits success backend error client error etc) pictorial representation using graphs.
shajra1988@gmail.com,Lead Software Engineer,FTE,Citicorp Services India Pvt Ltd,Hyderabad,03/05/2012,08/04/2023,TRUE,"• Worked as a senior developer to Analysing and estimating requirements from clients while providing effective solutions to develop new features in the application that deals with handling all the contacts across clients at a central location. This provides reduced duplication of data and controlling a contact’s information centrally.
• Responsible for developing end to end flow of APIs Angular UI Components to build new features in the existing application framework.
• Responsible for writing ad-hoc Mongo scripts to load or fetch contact data for reporting in case of any request from Client.
• Responsible for creating Low level and High level design documents of the application along with writing efficient automated unit test cases to ensure the maximum code coverage.
• Responsible for supporting and maintaining the developed application within an IT system to ensure the stability.
• Mentoring the Junior developer helping developer and senior developers code reviewing and code merge activity."
shajra1988@gmail.com,Senior Lead Consultant,FTE,FIS Solutions(India) Pvt Ltd,Hyderabad,09/05/2021,03/03/2021,FALSE,"• Worked as a senior developer to automate Loan Originations System of the bank which is a web based application that has a workflow of the loan origination process.
• Responsible working on the developing WebAPI Services Batch utilities to load or send data designing the workflows which will be used by the CLO application from where bank user can initiate and organize the loan approval process on behalf of a corporate or retail client.
• Responsible for creating Low level and High level design documents of the application.
• Responsible for driving customer meetings to manage the requirements completing the technical design breakdown requirement etc. and follow through.
• Mentoring the Junior developer helping developer and senior developers code reviewing and code merge activity.
• Defining task and subtask in Jira defined time estimation of task and assigned to developers"
shajra1988@gmail.com,I.T.Analyst,FTE,Tata Consultancy Services,Pune,03/05/2012,09/05/2019,FALSE,"• Worked as an onshore developer to migrate an application which was developed in DotNet framework 2.0 to DotNet framework 4.5 and to move the application from windows server 2003 to windows server 2012.
• Responsible for enhancing the applications and also re-developing the functionalities that are not compatible with the new framework.
• Responsible for analysis and setup the IIS settings for the new DotNet framework and the new windows server.
• Creation and enhance of necessary tables and mapping of the tables on database along with required Stored Procedures for the migration.
• Enhancing the security setup of the application from Form based authentication to windows authentication to align with CBA standard.
• Design of Test Cases and functional and unit testing.
• Responsible for creating Low level and High level design documents of the application."
sravanreddyrsm@gmail.com,Power BI Developer,FTE,KPMG Pvt Ltd,Pune,06/04/2017,08/04/2023,TRUE," Health Group provides unique services to healthcare organizations including medical offices medical groups hospitals and care facilities. Health Group are comprised of physicians health care providers and software engineers. This unique blend of expertise in both healthcare and software allows us to create and apply unique technology solutions to healthcare. Health Group products and services are technologically unique a pleasure to use and help Health Group customers move away from inefficient systems and paper-based processes. Health Group customers report dramatic""
""• Worked on all types of transformations that are available in Power BI Query Editor.
• Built interactive visualizations and configured relative filters slicers and drill-through from summary to detailed reports.
• Created Workspace and content packs for business users to view the developed reports and configured users to the created workspace with suitable privileges.
• Published Power BI Reports to the APP Workspace and create the APPs for the Users to consume the developed reports.""                                                        "
raj.s.ecodedash@gmail.com,Senior Software Engineer,FTE,Ecode Dash,Pune,08/05/2021,08/04/2023,TRUE,"
Plants is an online plant retailer web application. It is built on ReactJs and NextJs to support SEO and improve user experience. Developed the application from scratch and was responsible for main modules and performance."
raj.s.ecodedash@gmail.com,Senior Software Engineer,FTE,Freelancer,Pune,04/05/2019,08/04/2021,FALSE,"
Lead Generation is an online portal for agents to request new o"""" ers become distributors products and request train tickets online. It is built on the VueJs framework by dividing a big application into smaller components. So as to keeping in mind the reusability of those components in other projects.""                                                        "
dibyendu.rakshit@gmail.com,Senior Software Engineer,FTE,Eka Software Solution Pvt. Ltd.,Mumbai,07/05/2006,05/08/2010,FALSE,"1. Core member of Product engineering team hence responsible for improving application performance and working on urgent requirements for the demonstration of product to the client.
2. Designing screens independently as per functional specification in Jsp Java Struts EJB and Oracle.
3. Writing Jsp custom tags.
4. Writing complex sql queries.
5.Writing complex pl/sql procedures and functions.
6. Designing tables and views as per requirement."
dibyendu.rakshit@gmail.com,Application Engineer,FTE,Oracle India Pvt. Ltd.,Bangalore,06/08/2010,10/06/2011,FALSE,"
1. Involved in application customization Development for entire life i.e. designs development Unit Testing Bug fixing.
2. Major and minor bug fixing for existing products.
3. Peer code review for newly built customized code.
4. Writing API methods as well as in java and back end API
5. Unit testing bug fixing and enhancement.""							"
Pradip.wandhekar@gmail.com,Tech Lead Automation Engineer,FTE,Persistent Systems Ltd,Pune,01/08/2014,08/04/2023,TRUE,"SAE offers the capability of virtualizing your network edge and extending it to colocation centers. SAE provides segmentation virtualization automation and orchestration for your enterprise within a carrier-neutral facility.                                                                                                              • API Automation using selenium and Python
• Handling team of 5
• Review of work deliverable
• Responsible for Offshore development and Automation
• Delegating tasks on the project to employees best positioned to complete them
• Making effective decisions when presented with multiple options for how to progress with the project
• Serving as a point of contact for teams when multiple units are assigned"
Pradip.wandhekar@gmail.com,Software Test Engineer,FTE,TalentBeat Ltd,,01/02/2006,01/03/2008,FALSE,"SmartLMS is product devolved to meet requirements of logistics management system in global market. It automates all process involved in logistics management such as purchase order ship order shipment tariff quotations bill of lading etc.                     • Creating maintaining executing and updating test cases.
• Manual Testing (Test case execution towards Functional web (GUI) regression browser compatibility and database testing)
• Bug Tracking and reporting using Quality Center 9.2 and 11.0.
• Participating in client meetings for understanding and analyzing the requirements Testing Functional testing Multiple OS testing Multiple browser testing.
• Raising and verifying fixed defects with every build and track the same to closure."
Pradip.wandhekar@gmail.com,Project Test Lead,FTE,IGATE,,01/01/2014,01/09/2014,FALSE,Mine automation program is emerging with various autonomous systems like Drill Automation Smart Charging Trucks Ship/ Train Loaders etc. to be controlled remotely. This operational model demands for live video and real time digital parametric displays as support systems in the remote-control room for their health status and control. All these systems would be part of the mine network involving Wireless LAN and WAN. Emergency Safety Shutdown System is developed and will be commissioned at the mine site. It provides functionality of manual safety Emergency shutdown and auto fail-safe shutdown by providing diagnostic of failures of different components and network.
Sawantpravin128@gmail.com,Lead .Net Developer,FTE,Dzaro Solutions,Mumbai,01/12/2019,08/04/2023,TRUE,"VATConnect Integrations automatically captures data and images from expense management systems payment/ERP systems corporate cards hotel groups and travel management companies (TMC’s) to quickly get a view of your total spend and your VAT reclaim opportunity. VATConnect Intelligence reviews and validates all data via our industry leading AI machine learning algorithms and automatically applies the relevant VAT rules and regulations for each country.                                                            • Architecture Design.
• Code development & Enhancements Bug fixing Deployment Documentation.
• Working as Individual Contributor to design develop and deploy microservices as per requirement.
• Responsible for helping the onshore team in authoring the Business rules and developments of the rules in system.
• Executing test scenarios and fixing bugs."
Sawantpravin128@gmail.com,Senior Software Engineer,FTE,Morgan Stanley Capital International,,01/01/2019,01/08/2019,FALSE,"
CE Baseline help tool developed for Deloitte professionals for practice before giving actual CE assessment exam. It tool used by more than 5000 professionals on daily basis."
Sawantpravin128@gmail.com,Senior Software Engineer,FTE,Deloitte Consulting,,01/01/2017,01/01/2019,FALSE,Description: Kentucky Health Benefit Exchange is developed as a Deloitte go-to market solution to help implement an Integrated Eligibility Solution covering all the welfare programs administered by the state. The portal will act as a one-stop-shop for everyone applying for benefits in the state. It will also enable the state to administer the programs in an effective way.
Sawantpravin128@gmail.com,Software Developer,FTE,National Stock Exchange,,01/02/2015,01/01/2017,FALSE,NCDEX (National Commodity and Derivative Exchange) is an online commodity exchange based in India. NCFE is clearing front end of NCDEX. It handles real time trade information. NCFE simplifies and helps the member to easily carry out their complete clearing and settlement activity online.
Sawantpravin128@gmail.com,Jr. Software Developer,FTE,Spider Software Pvt. Ltd.,,01/01/2014,01/02/2015,FALSE,This application provides every trader with the power to automatically track important market movements and analyze the market in real-time and offers advanced charting and comprehensive technical analysis tools. Application works on live data Process by different server which in turn receives data from lease line provided by National Stock Exchange. This application is real time where you can see each up and down of stocks.
Prithvichavan83@gmail.com,Lead Devops Engineer,FTE,Dzaro Solutions,Pune,01/01/2020,08/04/2023,TRUE,"• Currently working as Lead for DevOps team.
• Working on CI/CD automation devops toolkit management Azure GCP and AWS related infrastructure management and automation on cloud native technologies as requested by business.
• This involves working with various project teams helping them in their development efforts with automation of CI/CD pipeline Creating and implementing Environment Scaling and collaborating towards continuous deployments/testing to various stages of development to Production.
• We have a strict goal to achieve Infrastructure as Code. I have personally contributed a lot in source control for our various projects that include scripting various auto deployment config management using terraform / CloudFormation /Helm charts Ansible and PowerShell DSE Jenkins's file-based Pipeline.
• Work on .NET web app API and services deployment to server or containers using Octopus and harness in various environments. My current role also has a lot of Operations related tasks.
• Creating monitoring and performance measurement for deployed LOB systems.
• Work with various monitoring tools such as New Relic APM Datadog Site24x7 Kibana Splunk PagerDuty so operations team can be alerted for any issue before having customer impact.
• Working with compliance team to remediate vulnerability maintaining automation around patch management and reporting for PCI system. "
Prithvichavan83@gmail.com,Lead DevOps Engineer,FTE,AIS,,01/03/2016,01/12/2019,FALSE,"• Working on infrastructure automation like F5 load balancer configuration automation SAN Provisioning automation Software deployment automation.
• ESXi Hyper-V Host OS and VM build automation using various tools like SCORCH SCVMM SCCM MDT PowerShell vSphere Auto Deploy and implementing similar automation on Azure platform.
• Developing Server lockdown and achieving desired state using automation with help of PowerShell Desired State Configuration and Puppet.
• Creation and implementation of highly available services using automatic scaling model and application sets in SCVMM and Azure. This includes web deployment Database server provisioning automation using PowerShell.
• Working with Microsoft consultant as primary contact for client’s System Center 2016 and Server 2016 Technology Adoption Program and Rapid Deployment Program.
• Have developed framework for year 2016- 2017 to implement these technologies. Completed working on automation scripts to action this framework.
• Worked on project to get Windows Server Nano 2016 as Hyper-V 2012 R2 host replacement to reduce security footprint."
Prithvichavan83@gmail.com,Senior Infrastructure Engineer,FTE,Systems Plus Solutions,,01/07/2012,01/04/2014,FALSE,Working with Achilles client on site providing datacenter support. Primary responsibility includes maintaining 240 physical server 8 SAN devices Cisco SonicWALL and Palo Alto network devices. Working as primary for project on infrastructure designing and on-site implementation. Creating support structure and processes for offshore team handling escalations. Providing on call and on-site assistance along with final line support on technology like Active directory Exchange SQL Servers vSphere and various in-house hosted applications.
Prithvichavan83@gmail.com,System Support Tech Lead,FTE,CompuCom Ltd.,,01/09/2010,01/03/2012,FALSE,"• Supporting Windows Server Cluster VMware vSphere Active Directory EMC Legato and CommVault Backup Symantec Endpoint Protection SCOM 2007 SCCM 2007.
• Working with SAP Basis SQL DBA GIS Raymark POS-Terminal SharePoint Web and other teams on Installation Production Readiness Installation of application and Setting up High Availability Solutions Provisioning Request fulfillment Access Management System Maintenance and Troubleshooting Performance Patching Decommission processes."
Prithvichavan83@gmail.com,Technical Supprt Executive,FTE,IBM,,01/01/2010,01/08/2010,FALSE,"• Working as NOC engineer supporting backbone network for leading ISP.
• Maintaining core routers troubleshooting routing issues firmware maintenance monitoring and escalating to on site team for cable or device repair. Logging calls with vendor for vendor provided circuits.
• Capacity planning for network and presenting utilization reports using CA spectrum and IBM internal products like Tivoli network manager."
Prithvichavan83@gmail.com,System Administrator,FTE,MIBS,,01/05/2008,01/08/2009,FALSE,"• Responsible for Installation Managing and maintaining Server and Desktop.
• Daily Backup of Servers and SQL Database on tapes. SQL Performance Tuning. Maintaining and troubleshooting Computer Hardware Printers and Scanners. Managing Firewall and Campus Wi-Fi.
• Student and Staff user ID creation. Managing Share and access permission.
• Intranet Email and Portal administration.
• Maintaining Library management software and barcode equipment.
• Symantec Endpoint Protection. "
